energy_code,country_code,year,electricity_ktoe,country,energy_source
N900H,EE,1995,0.0,Estonia,Heat pumps (renewable)
N900H,EL,1995,0.0,Greece,Heat pumps (renewable)
N900H,ES,1995,4768.272,Spain,Heat pumps (renewable)
N900H,EU27_2020,1995,68087.449,EU27 (total of EU),Heat pumps (renewable)
N900H,FI,1995,1652.279,Finland,Heat pumps (renewable)
N900H,FR,1995,32436.028,France,Heat pumps (renewable)
N900H,HR,1995,0.0,Croatia,Heat pumps (renewable)
N900H,HU,1995,1206.019,Hungary,Heat pumps (renewable)
N900H,IE,1995,0.0,Ireland,Heat pumps (renewable)
N900H,IT,1995,0.0,Italy,Heat pumps (renewable)
N900H,LT,1995,1016.509,Lithuania,Heat pumps (renewable)
N900H,LU,1995,0.0,Luxembourg,Heat pumps (renewable)
N900H,LV,1995,0.0,Latvia,Heat pumps (renewable)
N900H,MT,1995,0.0,Malta,Heat pumps (renewable)
N900H,NL,1995,345.486,Netherlands,Heat pumps (renewable)
N900H,NO,1995,0.0,Norway,Heat pumps (renewable)
N900H,PL,1995,0.0,Poland,Heat pumps (renewable)
N900H,PT,1995,0.0,Portugal,Heat pumps (renewable)
N900H,RO,1995,0.0,Romania,Heat pumps (renewable)
N900H,SE,1995,6013.328,Sweden,Heat pumps (renewable)
N900H,SI,1995,410.92,Slovenia,Heat pumps (renewable)
N900H,SK,1995,983.405,Slovakia,Heat pumps (renewable)
RA000,AT,1995,3345.142,Austria,Renewables (total)
RA000,BE,1995,57.438,Belgium,Renewables (total)
RA000,BG,1995,186.93,Bulgaria,Renewables (total)
RA000,CY,1995,0.0,Cyprus,Renewables (total)
RA000,CZ,1995,206.965,Czechia,Renewables (total)
RA000,DE,1995,2229.751,Germany,Renewables (total)
RA000,DK,1995,159.281,Denmark,Renewables (total)
RA000,EE,1995,0.688,Estonia,Renewables (total)
RA000,EL,1995,306.449,Greece,Renewables (total)
RA000,ES,1995,2096.389,Spain,Renewables (total)
RA000,EU27_2020,1995,30330.063,EU27 (total of EU),Renewables (total)
RA000,FI,1995,1680.553,Finland,Renewables (total)
RA000,FR,1995,6334.203,France,Renewables (total)
RA000,HR,1995,489.407,Croatia,Renewables (total)
RA000,HU,1995,18.864,Hungary,Renewables (total)
RA000,IE,1995,62.706,Ireland,Renewables (total)
RA000,IT,1995,3564.746,Italy,Renewables (total)
RA000,LT,1995,32.072,Lithuania,Renewables (total)
RA000,LU,1995,9.243,Luxembourg,Renewables (total)
RA000,LV,1995,252.553,Latvia,Renewables (total)
RA000,MT,1995,0.0,Malta,Renewables (total)
RA000,NL,1995,120.774,Netherlands,Renewables (total)
RA000,NO,1995,10475.408,Norway,Renewables (total)
RA000,PL,1995,168.1,Poland,Renewables (total)
RA000,PT,1995,806.535,Portugal,Renewables (total)
RA000,RO,1995,1435.34,Romania,Renewables (total)
RA000,SE,1995,6066.708,Sweden,Renewables (total)
RA000,SI,1995,279.622,Slovenia,Renewables (total)
RA000,SK,1995,419.604,Slovakia,Renewables (total)
RA100,AT,1995,3187.207,Austria,Hydropower
RA100,BE,1995,29.063,Belgium,Hydropower
RA100,BG,1995,186.93,Bulgaria,Hydropower
RA100,CY,1995,0.0,Cyprus,Hydropower
RA100,CZ,1995,172.141,Czechia,Hydropower
RA100,DE,1995,1872.743,Germany,Hydropower
RA100,DK,1995,2.58,Denmark,Hydropower
RA100,EE,1995,0.172,Estonia,Hydropower
RA100,EL,1995,303.439,Greece,Hydropower
RA100,ES,1995,1984.523,Spain,Hydropower
RA100,EU27_2020,1995,27964.978,EU27 (total of EU),Hydropower
RA100,FI,1995,1111.35,Finland,Hydropower
RA100,FR,1995,6133.439,France,Hydropower
RA100,HR,1995,488.633,Croatia,Hydropower
RA100,HU,1995,14.015,Hungary,Hydropower
RA100,IE,1995,61.307,Ireland,Hydropower
RA100,IT,1995,3248.667,Italy,Hydropower
RA100,LT,1995,32.072,Lithuania,Hydropower
RA100,LU,1995,7.567,Luxembourg,Hydropower
RA100,LV,1995,252.517,Latvia,Hydropower
RA100,MT,1995,0.0,Malta,Hydropower
RA100,NL,1995,7.567,Netherlands,Hydropower
RA100,NO,1995,10449.699,Norway,Hydropower
RA100,PL,1995,162.253,Poland,Hydropower
RA100,PT,1995,716.509,Portugal,Hydropower
RA100,RO,1995,1435.34,Romania,Hydropower
RA100,SE,1995,5855.718,Sweden,Hydropower
