freq,nrg_bal,siec,unit,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,GEP,FE,KTOE,IT	16813.156 	16580.396 	17165.176 	17751.677 	17823.130 	18768.348 	18635.008 	19643.027 	20509.333 	20718.467 	21262.724 	22014.597 	22311.814 	21878.621 	18785.677 	19005.213 	18648.039 	17568.698 	15059.567 	13480.287 	14794.484 	15407.163 	16287.960 	14868.984 	15083.956 	13842.078 	14595.639 	15514.589 	12504.439 	11484.832 
A,GEP,FE,KTOE,LT	111.436 	166.724 	174.033 	269.132 	236.629 	195.271 	223.904 	228.375 	244.626 	262.425 	293.895 	240.241 	242.906 	222.958 	243.852 	329.579 	247.377 	268.186 	210.748 	168.014 	199.054 	112.726 	70.520 	46.965 	58.229 	168.203 	133.637 	97.704 	83.990 	99.702 
A,GEP,FE,KTOE,LU	32.632 	31.346 	26.060 	19.213 	20.444 	21.369 	60.222 	228.571 	227.751 	274.008 	269.612 	282.198 	252.380 	209.956 	247.953 	254.765 	206.498 	209.768 	126.740 	128.957 	77.279 	28.026 	25.516 	23.306 	23.084 	21.847 	20.819 	14.327 	12.093 	11.457 
A,GEP,FE,KTOE,LV	89.596 	108.770 	133.362 	127.171 	116.079 	112.898 	123.904 	128.117 	140.757 	128.375 	128.289 	180.997 	167.068 	177.300 	173.087 	257.266 	259.415 	176.956 	230.009 	200.946 	237.059 	253.138 	177.944 	277.410 	279.129 	178.445 	183.009 	104.424 	122.461 	143.288 
A,GEP,FE,KTOE,MT	140.327 	142.562 	144.970 	147.979 	159.415 	164.832 	167.068 	176.440 	192.261 	190.542 	192.605 	194.411 	197.420 	198.796 	186.414 	181.685 	186.500 	195.013 	190.542 	186.586 	103.439 	61.981 	127.233 	151.632 	159.758 	163.393 	167.826 	171.669 	174.208 	159.060 
A,GEP,FE,KTOE,NL	6486.331 	6809.966 	7037.801 	7286.866 	6894.663 	7090.862 	7405.499 	7553.685 	7618.679 	7898.964 	7583.770 	7493.417 	8012.757 	8055.625 	8465.913 	8936.727 	8368.550 	7451.163 	7433.422 	7514.329 	7824.087 	8169.770 	8138.767 	7847.063 	8075.255 	7360.422 	6626.786 	5875.715 	5130.154 	4900.668 
A,GEP,FE,KTOE,NO	25.537 	34.308 	30.009 	28.719 	34.566 	27.687 	36.113 	36.028 	47.859 	51.419 	49.785 	60.017 	86.242 	57.868 	379.794 	440.671 	370.249 	253.568 	244.368 	258.117 	257.438 	255.202 	252.021 	254.966 	237.166 	189.245 	92.576 	144.373 	162.331 	: 
A,GEP,FE,KTOE,PL	11615.391 	11963.027 	11934.910 	11886.331 	11835.684 	12110.283 	12118.444 	12014.786 	12705.011 	12817.656 	13001.505 	13426.910 	13162.511 	12728.781 	12244.941 	12563.907 	12886.981 	12446.347 	12626.322 	11910.892 	12170.441 	12319.846 	12537.155 	12715.391 	11830.248 	11083.734 	12744.423 	12119.353 	10291.282 	10202.079 
A,GEP,FE,KTOE,PT	2043.336 	1602.150 	1711.608 	2128.977 	2948.581 	2622.872 	2616.251 	3088.306 	2477.902 	2795.614 	3261.224 	2824.917 	2637.801 	2651.132 	2681.951 	2178.432 	2387.664 	2252.904 	1810.698 	1753.447 	2313.044 	2307.142 	3020.106 	2493.475 	2091.476 	1842.534 	1538.353 	1624.934 	1019.948 	604.862 
A,GEP,FE,KTOE,RO	3642.820 	3773.603 	2907.051 	2475.494 	2319.518 	2693.551 	2852.279 	2825.107 	3153.310 	2960.791 	2892.949 	3328.031 	3263.972 	3138.951 	2617.025 	2467.412 	2918.057 	2784.351 	2301.755 	2269.845 	2414.471 	2264.858 	2420.152 	2310.520 	2001.923 	1680.287 	1849.461 	1798.931 	1541.075 	1522.222 
A,GEP,FE,KTOE,SE	670.851 	1061.909 	622.958 	611.350 	593.551 	410.576 	530.095 	640.069 	793.895 	516.893 	408.970 	450.432 	380.567 	395.444 	397.815 	733.524 	491.831 	351.591 	334.136 	252.451 	270.077 	314.961 	298.452 	314.531 	288.392 	209.690 	261.954 	247.305 	199.313 	178.167 
A,GEP,FE,KTOE,SI	419.776 	407.309 	435.512 	450.301 	412.210 	426.397 	459.243 	486.328 	475.827 	481.284 	486.468 	504.204 	513.236 	500.267 	495.042 	502.885 	500.392 	489.344 	464.261 	359.610 	413.887 	468.579 	457.483 	441.020 	432.979 	426.887 	381.575 	317.155 	315.055 	343.887 
A,GEP,FE,KTOE,SK	869.418 	857.968 	852.623 	865.950 	904.041 	833.104 	829.923 	758.298 	818.659 	798.624 	767.756 	721.066 	651.247 	641.015 	592.261 	594.153 	670.679 	626.827 	547.893 	455.890 	459.673 	454.342 	487.618 	508.770 	538.263 	535.168 	615.219 	409.630 	384.179 	361.221 
A,GEP,N900H,KTOE,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,BE	3555.976 	3726.225 	4076.354 	3969.475 	4214.703 	4140.757 	3985.297 	4072.227 	4073.861 	4068.100 	4092.433 	4010.748 	4146.776 	3918.143 	4060.361 	4122.442 	4147.377 	3464.746 	3666.724 	2897.936 	2244.454 	3742.304 	3630.851 	2458.899 	3742.356 	2960.851 	4327.274 	3772.923 	2831.290 	2687.412 
A,GEP,N900H,KTOE,BG	1484.179 	1554.772 	1526.311 	1453.052 	1359.759 	1563.027 	1681.255 	1738.779 	1485.813 	1445.830 	1603.869 	1676.096 	1259.071 	1355.546 	1311.780 	1311.178 	1402.752 	1357.266 	1218.487 	1364.316 	1322.700 	1356.492 	1336.672 	1386.525 	1423.499 	1429.558 	1417.618 	1415.479 	1389.792 	1356.584 
A,GEP,N900H,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,CZ	1051.591 	1104.901 	1074.291 	1133.104 	1148.495 	1168.530 	1268.186 	1611.178 	2224.592 	2263.543 	2126.225 	2239.553 	2250.387 	2282.975 	2339.467 	2407.395 	2431.900 	2607.395 	2643.594 	2607.481 	2307.911 	2072.571 	2436.767 	2572.770 	2600.706 	2583.257 	2642.406 	2667.396 	2614.829 	2553.431 
A,GEP,N900H,KTOE,DE	13163.457 	13758.899 	14645.572 	13898.882 	14617.713 	14583.491 	14729.579 	14173.861 	14192.605 	14365.004 	14020.206 	14382.545 	12083.749 	12768.272 	11602.064 	12085.641 	9283.835 	8552.021 	8365.434 	8351.591 	7892.175 	7277.214 	6562.683 	6535.254 	6454.944 	5535.856 	5944.110 	2984.437 	620.464 	0.000 
A,GEP,N900H,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,ES	4768.272 	4843.508 	4754.772 	5072.485 	5060.361 	5348.753 	5477.902 	5418.401 	5320.292 	5469.132 	4947.463 	5169.905 	4738.005 	5070.765 	4536.629 	5330.181 	4962.855 	5285.469 	4877.558 	4927.343 	4917.971 	5041.531 	4990.456 	4795.013 	5017.111 	5012.812 	4863.629 	5037.833 	4890.198 	4687.028 
A,GEP,N900H,KTOE,EU27_2020	68087.449 	71476.182 	72181.944 	71656.491 	72936.456 	73940.672 	76430.955 	77587.962 	78002.924 	79831.299 	78768.787 	78626.481 	74999.915 	76073.001 	70929.664 	73471.196 	72035.147 	69816.081 	69322.671 	69866.724 	67641.948 	66032.568 	65295.154 	65515.309 	65807.211 	58771.467 	62914.945 	52386.544 	53276.124 	55848.977 
A,GEP,N900H,KTOE,FI	1652.279 	1674.635 	1796.561 	1879.020 	1975.408 	1932.846 	1958.126 	1917.025 	1954.514 	1953.224 	2000.946 	1969.561 	2014.015 	1974.033 	2022.872 	1960.447 	1993.723 	1976.526 	2029.751 	2027.515 	1998.710 	1995.099 	1932.674 	1959.845 	2052.451 	2002.666 	2029.063 	2178.504 	2949.957 	2803.009 
A,GEP,N900H,KTOE,FR	32436.028 	34165.090 	34005.417 	33361.135 	33898.882 	35697.506 	36206.019 	37554.600 	37925.193 	38541.788 	38824.506 	38709.458 	37809.974 	37785.641 	35230.954 	36846.174 	38038.501 	36578.333 	36430.324 	37530.439 	37612.021 	34668.571 	34252.720 	35506.605 	34308.821 	30424.150 	32619.200 	25342.308 	29080.162 	32712.906 
A,GEP,N900H,KTOE,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,HU	1206.019 	1219.261 	1201.032 	1199.398 	1212.038 	1219.261 	1214.617 	1199.742 	946.948 	1024.506 	1189.510 	1157.438 	1261.995 	1274.119 	1326.397 	1355.202 	1348.667 	1357.954 	1321.582 	1345.572 	1361.479 	1380.396 	1384.179 	1352.794 	1400.516 	1380.482 	1374.893 	1359.587 	1368.702 	1377.214 
A,GEP,N900H,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,LT	1016.509 	1198.796 	1033.878 	1165.434 	847.979 	723.904 	976.956 	1215.993 	1331.384 	1298.538 	888.822 	743.852 	845.486 	850.731 	933.104 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,NL	345.486 	357.696 	207.051 	327.945 	329.493 	337.575 	341.874 	336.629 	345.486 	328.633 	343.680 	298.280 	361.135 	358.469 	365.262 	341.273 	356.062 	336.629 	248.581 	351.763 	350.648 	340.523 	292.560 	302.216 	336.178 	351.450 	329.145 	357.379 	342.674 	307.274 
A,GEP,N900H,KTOE,NO	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	: 
A,GEP,N900H,KTOE,PL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,PT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,N900H,KTOE,RO	0.000 	119.175 	464.316 	456.320 	446.948 	469.132 	468.272 	474.033 	421.840 	477.042 	477.644 	484.265 	662.855 	965.262 	1010.490 	999.398 	1010.060 	985.899 	998.968 	1003.955 	1000.860 	970.421 	989.584 	978.283 	969.920 	985.933 	970.277 	953.457 	962.260 	938.261 
A,GEP,N900H,KTOE,SE	6013.328 	6386.414 	6012.726 	6326.999 	6293.035 	4928.289 	6200.258 	5856.492 	5796.647 	6662.597 	6223.302 	5758.985 	5758.298 	5493.465 	4486.071 	4972.313 	5199.914 	5506.191 	5714.273 	5578.418 	4845.056 	5425.709 	5648.839 	5894.153 	5686.156 	4230.267 	4554.170 	4466.380 	4167.670 	4356.406 
A,GEP,N900H,KTOE,SI	410.920 	399.570 	431.556 	433.534 	403.783 	409.372 	452.021 	475.322 	447.721 	469.390 	505.933 	477.042 	489.682 	539.381 	493.465 	486.414 	534.394 	475.322 	455.718 	547.721 	485.641 	491.402 	540.436 	496.684 	500.538 	546.240 	490.623 	481.987 	481.772 	501.782 
A,GEP,N900H,KTOE,SK	983.405 	967.240 	952.107 	979.708 	1127.859 	1418.229 	1470.593 	1543.680 	1536.028 	1463.972 	1524.248 	1548.753 	1318.487 	1436.199 	1210.748 	1253.138 	1325.107 	1332.330 	1351.677 	1332.674 	1302.322 	1270.335 	1296.733 	1276.268 	1314.015 	1327.945 	1352.537 	1368.874 	1576.354 	1567.670 
A,GEP,RA000,KTOE,AT	3345.142 	3077.411 	3251.918 	3356.133 	3641.313 	3734.619 	3631.402 	3602.419 	3031.093 	3407.452 	3515.442 	3496.885 	3712.595 	3828.959 	4056.513 	3869.161 	3517.469 	4413.399 	4341.479 	4315.242 	4091.319 	4392.282 	4389.954 	4303.827 	4697.647 	4765.570 	4535.999 	4334.231 	5172.492 	5827.920 
A,GEP,RA000,KTOE,BE	57.438 	48.237 	50.559 	65.262 	73.087 	89.768 	92.433 	97.850 	102.494 	128.766 	181.107 	253.861 	299.694 	379.745 	467.726 	572.528 	720.894 	905.185 	1008.375 	1050.095 	1242.786 	1226.285 	1359.020 	1477.424 	1674.479 	2017.256 	1956.139 	2100.757 	2362.115 	2281.849 
A,GEP,RA000,KTOE,BG	186.930 	248.323 	234.222 	263.801 	234.910 	226.225 	141.960 	181.943 	257.524 	269.975 	369.907 	363.974 	247.352 	251.949 	316.371 	495.513 	334.417 	450.822 	594.441 	635.395 	753.044 	605.883 	527.181 	806.574 	643.558 	641.925 	886.350 	828.877 	864.892 	977.623 
A,GEP,RA000,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.069 	0.079 	0.130 	0.304 	1.242 	2.640 	6.298 	15.323 	22.084 	28.118 	27.250 	34.372 	36.514 	37.421 	41.052 	44.261 	51.302 	66.617 	76.007 	93.970 	0.000 
A,GEP,RA000,KTOE,CZ	206.965 	194.411 	188.564 	170.531 	202.729 	196.365 	221.554 	257.776 	161.536 	235.833 	269.417 	302.533 	293.370 	320.809 	400.253 	507.580 	623.002 	693.490 	800.377 	788.623 	810.003 	806.860 	827.751 	810.938 	864.648 	890.122 	915.269 	925.772 	958.484 	1061.699 
A,GEP,RA000,KTOE,DE	2229.751 	2282.975 	1982.975 	2141.187 	2469.218 	3050.301 	3258.383 	3824.334 	4012.898 	4983.405 	5451.591 	6234.824 	7684.265 	8106.879 	8249.183 	9043.852 	10665.348 	12299.484 	13098.796 	13974.721 	16232.588 	16308.856 	18600.430 	19095.013 	20664.832 	21623.474 	20089.269 	21691.058 	23969.475 	24885.383 
A,GEP,RA000,KTOE,DK	159.281 	178.757 	251.815 	337.489 	376.526 	479.106 	502.666 	583.749 	694.583 	818.487 	843.680 	791.144 	886.071 	868.100 	865.262 	1068.717 	1219.334 	1275.772 	1372.977 	1546.318 	1628.293 	1581.258 	1874.283 	1785.028 	1983.938 	2016.068 	2244.022 	2447.959 	2521.262 	2700.685 
A,GEP,RA000,KTOE,EE	0.688 	0.602 	0.946 	1.376 	1.376 	1.569 	1.548 	2.580 	4.213 	5.159 	9.573 	11.161 	12.516 	17.025 	46.459 	89.758 	101.438 	126.954 	104.864 	119.408 	134.101 	136.516 	159.804 	171.006 	184.196 	255.433 	247.509 	245.585 	241.196 	296.499 
A,GEP,RA000,KTOE,EL	306.449 	377.128 	336.887 	325.623 	408.856 	356.320 	252.107 	307.567 	506.621 	508.832 	550.834 	660.336 	395.085 	494.487 	701.903 	905.971 	700.217 	871.966 	1233.927 	1047.158 	1276.894 	1280.523 	1186.676 	1388.515 	1384.048 	1509.389 	1903.405 	1930.074 	2096.777 	2381.003 
A,GEP,RA000,KTOE,ES	2096.389 	3546.948 	3179.450 	3172.329 	2339.639 	2965.606 	4238.607 	2852.107 	4794.669 	4311.039 	3634.549 	4484.520 	5012.056 	5343.349 	6369.733 	8407.240 	7525.537 	7477.354 	9579.094 	9481.335 	8348.104 	8996.740 	7560.103 	8932.502 	8683.405 	9783.577 	10812.257 	10569.089 	12362.167 	13841.012 
A,GEP,RA000,KTOE,EU27_2020	30330.063 	30553.358 	31534.633 	33078.659 	33220.782 	34995.602 	37518.087 	33533.908 	34177.397 	37850.035 	38131.728 	40169.548 	42656.432 	46481.723 	49090.045 	56115.486 	55535.463 	62669.537 	69443.346 	72060.996 	73694.517 	75006.894 	75268.479 	80922.190 	84157.402 	91186.286 	92740.241 	92996.167 	105717.175 	114431.395 
A,GEP,RA000,KTOE,FI	1680.553 	1527.170 	1732.692 	2098.735 	1822.306 	2010.198 	1852.843 	1705.131 	1639.328 	2203.945 	2017.953 	1931.784 	2091.513 	2388.756 	1865.946 	2080.418 	2078.810 	2455.648 	2203.755 	2258.867 	2624.826 	2614.958 	2706.510 	2763.562 	2741.570 	3089.195 	3282.417 	3324.732 	3637.353 	4013.178 
A,GEP,RA000,KTOE,FR	6334.203 	5769.591 	5571.798 	5455.370 	6338.198 	5831.441 	6542.875 	5390.228 	5285.040 	5367.725 	4727.783 	5237.652 	5528.282 	6219.307 	5860.558 	6593.687 	5699.186 	7356.764 	8578.290 	8116.259 	7934.047 	8550.040 	7946.233 	9838.759 	9772.013 	10808.245 	10547.911 	9815.075 	12123.562 	13369.817 
A,GEP,RA000,KTOE,HR	489.407 	676.844 	503.388 	518.521 	630.800 	554.936 	617.403 	503.130 	469.286 	656.285 	607.008 	571.539 	407.713 	502.236 	643.393 	799.524 	454.623 	452.447 	797.589 	854.329 	645.690 	719.115 	611.840 	841.040 	717.696 	735.219 	905.236 	769.639 	1051.350 	959.579 
A,GEP,RA000,KTOE,HU	18.864 	22.093 	23.124 	18.500 	21.120 	20.875 	22.118 	20.376 	28.864 	80.447 	160.757 	128.428 	161.847 	202.655 	248.900 	259.629 	232.863 	227.486 	239.664 	270.972 	277.667 	280.149 	299.226 	323.818 	403.267 	475.408 	594.583 	658.813 	805.933 	1026.363 
A,GEP,RA000,KTOE,IE	62.706 	65.626 	69.633 	100.843 	96.999 	102.326 	88.783 	119.384 	98.498 	120.797 	162.673 	215.105 	243.729 	312.584 	358.268 	324.635 	472.597 	457.666 	490.362 	556.813 	685.179 	654.646 	774.188 	889.347 	1028.386 	1173.843 	1011.928 	1139.901 	1228.155 	1247.821 
A,GEP,RA000,KTOE,IT	3564.746 	3974.463 	3973.001 	3996.217 	4412.296 	4374.821 	4673.044 	4154.386 	4029.705 	4632.118 	4165.085 	4353.761 	4102.740 	5001.192 	5954.889 	6617.744 	7133.401 	7929.697 	9630.983 	10376.515 	9364.065 	9288.207 	8933.590 	9837.890 	9961.023 	10052.858 	10003.354 	8638.526 	10023.959 	11552.634 
A,GEP,RA000,KTOE,LT	32.072 	28.031 	25.451 	35.856 	35.684 	29.235 	28.203 	30.782 	28.547 	36.801 	39.553 	37.403 	49.957 	51.763 	58.813 	78.332 	95.615 	101.720 	131.212 	129.923 	144.282 	180.138 	218.216 	189.561 	212.304 	221.427 	225.426 	260.275 	381.531 	538.349 
A,GEP,RA000,KTOE,LU	9.243 	6.487 	8.849 	12.302 	10.477 	14.672 	14.419 	13.008 	12.136 	16.787 	17.975 	21.120 	22.748 	24.280 	23.028 	23.047 	21.133 	26.488 	31.829 	34.190 	37.041 	39.312 	51.624 	58.749 	68.505 	83.946 	85.111 	89.602 	108.076 	118.060 
A,GEP,RA000,KTOE,LV	252.553 	160.086 	254.051 	371.276 	237.259 	242.784 	244.121 	213.630 	201.079 	274.827 	293.547 	239.649 	243.152 	276.261 	305.681 	312.548 	264.597 	353.377 	303.820 	240.964 	238.798 	299.363 	469.622 	300.825 	274.472 	313.803 	319.675 	328.161 	426.772 	399.179 
A,GEP,RA000,KTOE,MT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.058 	0.851 	2.206 	3.048 	6.439 	8.744 	11.715 	14.794 	17.110 	17.356 	20.878 	22.618 	25.487 	27.366 	28.891 
A,GEP,RA000,KTOE,NL	120.774 	156.144 	173.292 	200.143 	215.596 	255.461 	283.938 	341.823 	340.658 	456.297 	640.321 	692.172 	651.997 	819.499 	931.644 	962.740 	1059.345 	1073.152 	1040.914 	1001.505 	1176.865 	1270.954 	1499.444 	1623.546 	1960.721 	2814.229 	3476.615 	4135.211 	4896.964 	5339.577 
A,GEP,RA000,KTOE,NO	10475.408 	8957.352 	9460.619 	9972.829 	10468.616 	12218.831 	10382.201 	11151.935 	9116.801 	9406.019 	11738.607 	10351.935 	11602.236 	12068.272 	10875.924 	10143.336 	10481.599 	12347.206 	11213.672 	11860.714 	12043.852 	12481.169 	12508.942 	12301.350 	11270.824 	13073.037 	13418.619 	12335.396 	13008.228 	: 
A,GEP,RA000,KTOE,PL	168.100 	177.472 	183.319 	217.799 	202.236 	200.516 	239.295 	237.919 	193.465 	275.735 	330.824 	368.955 	466.835 	568.116 	746.236 	936.266 	1129.580 	1451.313 	1467.437 	1706.085 	1950.478 	1961.080 	2074.129 	1858.743 	2189.066 	2427.047 	2628.414 	3240.634 	3942.680 	4529.162 
A,GEP,RA000,KTOE,PT	806.535 	1357.180 	1223.216 	1216.423 	741.359 	1106.449 	1353.482 	836.887 	1522.184 	1058.855 	710.106 	1351.906 	1394.464 	1258.905 	1572.739 	2437.797 	2073.492 	1665.715 	2534.122 	2713.750 	2095.599 	2778.168 	1940.950 	2528.122 	2356.449 	2588.113 	2712.074 	2373.731 	2953.782 	3469.751 
A,GEP,RA000,KTOE,RO	1435.340 	1354.686 	1506.449 	1624.248 	1572.657 	1270.679 	1283.147 	1379.966 	1140.327 	1420.211 	1738.012 	1578.706 	1376.138 	1481.050 	1337.330 	1745.465 	1402.663 	1283.393 	1732.402 	2332.402 	2252.808 	2318.895 	2087.876 	2252.329 	2118.245 	2115.788 	2265.145 	2030.006 	2438.229 	2101.639 
A,GEP,RA000,KTOE,SE	6066.708 	4643.415 	6193.729 	6715.238 	6427.112 	7148.789 	7164.275 	6117.341 	5049.942 	5862.999 	6984.517 	6110.733 	6657.257 	6999.871 	6862.433 	7058.007 	7230.309 	8453.052 	7109.876 	7372.396 	8813.111 	7663.511 	8173.517 	7837.747 	8506.707 	9642.562 	9951.591 	10166.466 	9909.372 	10281.831 
A,GEP,RA000,KTOE,SI	279.622 	315.821 	265.864 	296.561 	324.334 	335.722 	332.559 	293.556 	264.796 	362.417 	307.371 	318.256 	290.590 	370.328 	421.912 	408.228 	333.566 	372.224 	439.335 	568.444 	374.466 	434.935 	382.446 	449.937 	433.329 	480.013 	468.504 	349.897 	542.391 	590.713 
A,GEP,RA000,KTOE,SK	419.604 	363.457 	349.441 	366.896 	384.695 	396.819 	436.922 	466.036 	307.911 	354.772 	402.064 	413.011 	424.162 	392.376 	422.232 	510.743 	429.853 	470.679 	546.260 	535.598 	519.347 	569.991 	561.651 	499.226 	571.281 	589.596 	582.803 	500.602 	576.870 	611.178 
A,GEP,RA100,KTOE,AT	3187.207 	2942.054 	3104.495 	3195.471 	3499.457 	3597.193 	3478.539 	3458.889 	2855.975 	3160.975 	3189.608 	3065.871 	3186.109 	3295.743 	3516.449 	3298.660 	2943.867 	3770.223 	3612.788 	3525.988 	3194.915 	3436.916 	3292.670 	3236.278 	3510.402 	3611.180 	3332.015 	2977.224 	3497.217 	3930.102 
A,GEP,RA100,KTOE,BE	29.063 	20.550 	26.225 	33.448 	29.321 	39.553 	37.919 	30.954 	21.238 	27.257 	24.764 	30.868 	33.448 	35.254 	28.203 	26.827 	16.853 	30.696 	32.674 	25.125 	27.377 	31.814 	23.224 	25.133 	25.881 	22.949 	35.950 	23.310 	34.592 	46.922 
A,GEP,RA100,KTOE,BG	186.930 	248.323 	234.222 	263.801 	234.910 	226.225 	141.960 	181.943 	257.524 	269.889 	369.512 	362.251 	243.323 	240.130 	295.074 	432.617 	246.912 	273.228 	347.045 	395.669 	486.203 	333.606 	243.173 	442.526 	251.892 	242.511 	414.377 	327.023 	264.844 	239.652 
A,GEP,RA100,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 
A,GEP,RA100,KTOE,CZ	172.141 	169.304 	146.088 	120.034 	144.540 	151.161 	176.612 	214.273 	118.917 	173.620 	204.635 	219.286 	179.657 	174.061 	208.909 	239.852 	168.789 	183.073 	235.125 	164.123 	154.322 	171.972 	160.745 	140.054 	172.659 	184.341 	207.095 	180.006 	203.180 	228.961 
